Date,I_0221,I_0225,I_0229,I_0233,I_0237,I_0241,I_0245,I_0249,I_0342,I_1223,I_1229,I_1233,I_1237,I_1241,I_1245,I_1249
2009-10-06 06:00:00,308.0015,300.912,306.34,163.8095,138.548,136.8005,134.53,140.078,84.157,299.2175,299.3505,180.311,158.643,151.6145,157.768,158.583
2009-10-06 07:00:00,307.915,301.6225,306.314,164.311,138.6125,136.8265,134.8035,140.108,84.158,299.168,299.3345,180.3245,158.646,151.616,157.7615,158.5785
2009-10-06 08:00:00,307.937,300.153,306.28,164.4855,138.688,136.8475,135.057,140.14,84.1685,299.1995,299.3195,180.316,158.6395,151.613,157.763,158.585
2009-10-06 09:00:00,307.863,300.7735,306.266,164.0195,138.7365,136.8625,135.292,140.1535,84.167,299.193,299.2735,180.311,158.6425,151.607,157.7615,158.57
2009-10-06 10:00:00,307.8655,300.7375,306.296,164.739,138.8185,136.9045,135.5685,140.186,84.1785,299.182,299.2755,180.319,158.6395,151.6165,157.765,158.5815
2009-10-06 11:00:00,307.8485,301.347,306.2615,163.88,138.8625,136.904,135.8065,140.211,84.1685,299.163,299.305,180.3005,158.6345,151.6025,157.755,158.5765
2009-10-06 12:00:00,307.351,300.799,306.227,164.633,138.9435,136.9555,136.077,140.263,84.1745,299.1675,299.317,180.3025,158.638,151.6055,157.7585,158.5875
2009-10-06 13:00:00,307.8255,300.7955,306.2395,163.7515,139.0055,136.9615,136.3215,140.2675,84.177,299.158,299.192,180.297,158.641,151.6085,157.76,158.567
2009-10-06 14:00:00,307.394,300.812,306.2235,164.3945,139.073,136.9965,136.5925,140.309,84.177,299.1225,299.2525,180.296,158.638,151.613,157.7615,158.57
2009-10-06 15:00:00,307.841,300.8165,306.2195,164.012,139.136,137.017,136.865,140.321,84.181,299.125,299.239,180.289,158.627,151.604,157.76,158.567
2009-10-06 16:00:00,307.8035,300.7755,306.227,164.248,139.22,137.0425,137.1365,140.2925,84.1795,299.115,299.154,180.3025,158.627,151.6085,157.76,158.58
2009-10-06 17:00:00,307.813,300.7695,306.2015,164.159,139.2935,137.081,137.407,140.3895,84.1885,299.1075,299.22,180.294,158.633,151.604,157.7535,158.569
2009-10-06 18:00:00,307.7895,300.787,306.216,164.171,139.36,137.1015,137.685,140.424,84.199,299.0855,299.1875,180.29,158.6285,151.5995,157.752,158.572
2009-10-06 19:00:00,307.7765,300.7595,306.1785,164.353,139.435,137.1215,137.966,140.4585,84.206,299.0565,299.147,180.287,158.6345,151.607,157.7565,158.567
2009-10-06 20:00:00,307.7175,300.7485,306.1745,164.116,139.5205,137.1645,138.2665,140.498,84.2035,299.0725,299.181,180.289,158.625,151.5995,157.757,158.564
2009-10-06 21:00:00,307.747,300.745,306.1535,163.9625,139.5795,137.1685,138.532,140.5025,84.216,299.06,299.196,180.284,158.6205,151.599,157.7585,158.5705
2009-10-06 22:00:00,307.769,300.7385,306.1595,164.2785,139.677,137.214,138.845,140.5615,84.2135,299.023,299.158,180.301,158.6305,151.6055,157.768,158.5685
2009-10-06 23:00:00,307.7475,300.7315,306.0005,163.7755,139.746,137.223,139.126,140.5705,84.2205,299.066,299.1775,180.2855,158.61,151.598,157.76,158.5605
2009-10-07 00:00:00,307.7455,300.709,306.1425,164.752,139.8365,137.265,139.4235,140.615,84.2175,299.055,299.181,180.284,158.6235,151.5945,157.7585,158.5605
2009-10-07 01:00:00,307.704,300.6835,306.123,163.882,139.9115,137.2825,139.7095,140.6355,84.2235,299.044,299.165,180.286,158.627,151.593,157.746,158.5705
2009-10-07 02:00:00,307.7195,300.712,306.1245,164.4755,140.0085,137.329,140.0415,140.692,84.237,299.0315,299.1345,180.279,158.6205,151.598,157.746,158.565
2009-10-07 03:00:00,307.714,300.7,306.1095,164.1065,140.087,137.363,140.3445,140.72,84.242,299.0265,299.1835,180.2755,158.6235,151.6055,157.7535,158.5655
2009-10-07 04:00:00,307.6755,300.674,306.1005,163.816,140.1625,137.3895,140.6505,140.7575,84.2405,298.9985,299.1275,180.281,158.6205,151.5995,157.7475,158.556
2009-10-07 05:00:00,307.726,300.6715,306.1255,164.4205,140.26,137.426,140.9555,140.806,84.257,299.0685,299.12,180.2805,158.6205,151.6055,157.749,158.5705
2009-10-07 06:00:00,307.6525,300.653,306.0865,163.8995,140.3695,137.4545,141.267,140.83,84.26,299.0095,299.098,180.287,158.616,151.6025,157.76,158.575
2009-10-07 07:00:00,307.6205,300.648,306.089,164.2375,140.4595,137.4945,141.5655,140.8875,84.2685,298.9865,299.1015,180.282,158.6175,151.604,157.7565,158.5685
2009-10-07 08:00:00,307.645,300.63,306.0215,164.2385,140.538,137.512,141.8435,140.907,84.2685,298.9595,299.093,180.2725,158.6205,151.604,157.752,158.5765
2009-10-07 09:00:00,307.6295,300.646,306.019,163.8895,140.6385,137.5635,142.1635,140.9585,84.288,298.963,299.013,180.289,158.622,151.61,157.762,158.575
2009-10-07 10:00:00,307.6425,300.6005,306.048,163.9945,140.7185,137.597,142.43,140.981,84.291,298.9755,299.0865,180.274,158.6235,151.613,157.7535,158.5605
2009-10-07 11:00:00,307.6375,300.6175,306.042,164.346,140.8225,137.635,142.722,141.043,84.2925,298.9385,299.0785,180.271,158.619,151.621,157.763,158.5685
2009-10-07 12:00:00,307.645,300.627,306.0485,163.957,140.9065,137.653,142.973,141.0505,84.307,298.93,299.083,180.2855,158.622,151.6115,157.757,158.572
2009-10-07 13:00:00,307.616,300.6175,306.016,163.7915,141.0045,137.711,143.1615,141.117,84.311,298.9615,299.072,180.2775,158.625,151.621,157.7615,158.572
2009-10-07 14:00:00,307.6265,300.622,306.0345,164.6945,141.086,137.7375,143.456,141.147,84.323,298.958,299.0845,180.2755,158.6285,151.6145,157.7585,158.5765
2009-10-07 15:00:00,307.612,300.614,306.0605,164.2235,141.178,137.7725,143.6965,141.191,84.329,298.941,299.0375,180.284,158.6205,151.613,157.763,158.5715
2009-10-07 16:00:00,307.667,300.625,306.058,163.965,141.258,137.8105,143.911,141.2255,84.344,298.958,299.0745,180.2805,158.6205,151.6145,157.765,158.5705
2009-10-07 17:00:00,307.6315,300.625,306.037,163.8355,141.359,137.847,144.1435,141.2715,84.3465,298.968,299.023,180.2805,158.625,151.622,157.765,158.5765
2009-10-07 18:00:00,307.6505,300.668,306.075,163.7445,141.451,137.866,144.3535,141.298,84.358,298.9605,299.05,180.2805,158.6205,151.6225,157.761,158.5815
2009-10-07 19:00:00,307.634,300.6385,306.0285,164.665,141.4245,137.809,144.466,141.242,84.3655,298.9495,299.084,180.279,158.625,151.627,157.771,158.5765
2009-10-07 20:00:00,307.6415,300.606,305.9895,163.7915,141.4925,137.84,144.6505,141.2675,84.3775,298.995,299.115,180.289,158.641,151.63,157.768,158.594
2009-10-07 21:00:00,307.602,300.6335,305.993,164.0255,141.5845,137.866,144.848,141.289,84.3855,298.9605,299.077,180.2775,158.635,151.6305,157.766,158.5865
2009-10-07 22:00:00,307.5985,300.587,305.9905,164.0795,141.6695,137.894,145.046,141.343,84.39,298.962,299.0515,180.282,158.6445,151.6335,157.774,158.585
2009-10-07 23:00:00,307.573,300.57,305.9735,163.6775,141.729,137.919,145.212,141.3605,84.402,298.9605,298.99,180.279,158.63,151.632,157.768,158.586
2009-10-08 00:00:00,307.58,300.592,305.976,164.23,141.83,137.957,145.4425,141.4035,84.411,298.9335,299.0755,180.292,158.644,151.6365,157.774,158.5955
2009-10-08 01:00:00,307.5975,300.583,305.994,164.0565,141.8955,137.9775,145.6175,141.4365,84.4265,298.9775,299.0805,180.292,158.638,151.6365,157.771,158.5865
2009-10-08 02:00:00,307.486,300.593,305.924,163.8845,142.0775,138.1125,145.919,141.5685,84.425,298.904,299.028,180.2925,158.646,151.644,157.774,158.588
2009-10-08 03:00:00,307.6015,300.625,306.0175,163.9045,142.1885,138.1665,146.1455,141.625,84.437,298.9495,299.0585,180.2905,158.6395,151.638,157.7775,158.5815
2009-10-08 04:00:00,307.666,300.6065,306.0405,163.904,142.27,138.2105,146.383,141.672,84.4465,298.941,299.057,180.2905,158.641,151.6455,157.7915,158.591
2009-10-08 05:00:00,307.6195,300.609,306.0545,163.8835,142.3435,138.221,146.6065,141.6975,84.4525,298.9475,299.0575,180.2925,158.6495,151.6425,157.79,158.591
2009-10-08 06:00:00,307.601,300.5955,306.026,163.896,142.4295,138.2545,146.8335,141.7245,84.463,298.9435,299.04,180.282,158.643,151.6455,157.7885,158.597
2009-10-08 07:00:00,307.621,300.625,305.948,163.922,142.515,138.293,147.1035,141.769,84.4755,298.9865,299.109,180.314,158.651,151.6425,157.801,158.5975
2009-10-08 08:00:00,307.637,300.6515,306.0215,163.928,142.585,138.3105,147.3615,141.7895,84.4875,298.9295,299.0455,180.3025,158.651,151.653,157.779,158.5925
2009-10-08 09:00:00,307.6565,300.6385,306.01,163.9155,142.655,138.319,147.424,141.8105,84.492,298.952,299.0475,180.316,158.6525,151.6425,157.7915,158.5975
2009-10-08 10:00:00,307.5335,300.575,305.994,163.6805,142.6125,138.2565,143.9965,141.761,84.5,298.896,299.0575,180.296,158.652,151.646,157.7985,158.607
2009-10-08 11:00:00,307.6055,300.6035,306.003,163.6025,142.576,138.305,141.4865,141.7935,84.5095,298.9685,299.0755,180.305,158.6535,151.6425,157.8015,158.608
2009-10-08 12:00:00,307.616,300.6475,306.0265,164.727,142.448,138.3025,139.741,141.775,84.522,298.994,299.1015,180.299,158.657,151.642,157.802,158.6105
2009-10-08 13:00:00,307.6585,300.698,306.0775,163.9955,142.3145,138.3155,138.4245,141.764,84.53,299.0605,299.1655,180.3135,158.661,151.6475,157.817,158.6265
2009-10-08 14:00:00,307.7165,300.748,306.1295,163.7685,142.139,138.267,137.317,141.7,84.5395,299.116,299.2185,180.3045,158.6545,151.6405,157.8175,158.619
2009-10-08 15:00:00,307.7675,300.7955,306.1755,163.6345,141.9735,138.2285,136.42,141.6785,84.5475,299.1455,299.2535,180.3135,158.6685,151.6475,157.817,158.6255
2009-10-08 16:00:00,307.781202247191,300.795303370786,306.206185393258,163.563162921348,141.830808988764,138.190943820225,135.995505617977,141.576275280899,84.5559157303371,299.606926966292,299.264033707865,180.34504494382,158.659842696629,151.660606741573,157.829876404494,158.623061797753
2009-10-08 17:00:00,307.793606741573,300.80791011236,306.218556179775,163.577488764045,141.724426966292,138.144831460674,135.822516853933,141.526825842697,84.5497471910112,299.608780898876,299.282101123595,180.347134831461,158.661528089888,151.661820224719,157.831629213483,158.625185393258
2009-10-08 18:00:00,307.806011235955,300.820516853933,306.230926966292,163.591814606742,141.61804494382,138.098719101124,135.649528089888,141.477376404494,84.5435786516854,299.610634831461,299.300168539326,180.349224719101,158.663213483146,151.663033707865,157.833382022472,158.627308988764
2009-10-08 19:00:00,307.818415730337,300.833123595506,306.243297752809,163.606140449438,141.511662921348,138.052606741573,135.476539325843,141.427926966292,84.5374101123596,299.612488764045,299.318235955056,180.351314606742,158.664898876404,151.664247191011,157.835134831461,158.62943258427
2009-10-08 20:00:00,307.830820224719,300.845730337079,306.255668539326,163.620466292135,141.405280898876,138.006494382022,135.303550561798,141.37847752809,84.5312415730337,299.614342696629,299.336303370786,180.353404494382,158.666584269663,151.665460674157,157.836887640449,158.631556179775
2009-10-08 21:00:00,307.843224719101,300.858337078652,306.268039325843,163.634792134831,141.298898876404,137.960382022472,135.130561797753,141.329028089888,84.5250730337079,299.616196629213,299.354370786517,180.355494382022,158.668269662921,151.666674157303,157.838640449438,158.633679775281
2009-10-08 22:00:00,307.855629213483,300.870943820225,306.28041011236,163.649117977528,141.192516853933,137.914269662921,134.957573033708,141.279578651685,84.518904494382,299.618050561798,299.372438202247,180.357584269663,158.66995505618,151.667887640449,157.840393258427,158.635803370787
2009-10-08 23:00:00,307.868033707865,300.883550561798,306.292780898876,163.663443820225,141.086134831461,137.868157303371,134.784584269663,141.230129213483,84.5127359550562,299.619904494382,299.390505617978,180.359674157303,158.671640449438,151.669101123596,157.842146067416,158.637926966292
2009-10-09 00:00:00,307.880438202247,300.896157303371,306.305151685393,163.677769662921,140.979752808989,137.82204494382,134.611595505618,141.180679775281,84.5065674157303,299.621758426966,299.408573033708,180.361764044944,158.673325842697,151.670314606742,157.843898876405,158.640050561798
2009-10-09 01:00:00,307.892842696629,300.908764044944,306.31752247191,163.692095505618,140.873370786517,137.77593258427,134.438606741573,141.131230337079,84.5003988764045,299.623612359551,299.426640449438,180.363853932584,158.675011235955,151.671528089888,157.845651685393,158.642174157303
2009-10-09 02:00:00,307.905247191011,300.921370786517,306.329893258427,163.706421348315,140.766988764045,137.729820224719,134.265617977528,141.081780898876,84.4942303370786,299.625466292135,299.444707865169,180.365943820225,158.676696629213,151.672741573034,157.847404494382,158.644297752809
2009-10-09 03:00:00,307.917651685393,300.93397752809,306.342264044944,163.720747191011,140.660606741573,137.683707865169,134.092629213483,141.032331460674,84.4880617977528,299.627320224719,299.462775280899,180.368033707865,158.678382022472,151.67395505618,157.849157303371,158.646421348315
2009-10-09 04:00:00,307.930056179775,300.946584269663,306.354634831461,163.735073033708,140.554224719101,137.637595505618,133.919640449438,140.982882022472,84.481893258427,299.629174157303,299.480842696629,180.370123595506,158.68006741573,151.675168539326,157.85091011236,158.64854494382
2009-10-09 05:00:00,307.942460674157,300.959191011236,306.367005617977,163.749398876404,140.447842696629,137.591483146067,133.746651685393,140.93343258427,84.4757247191011,299.631028089888,299.49891011236,180.372213483146,158.681752808989,151.676382022472,157.852662921348,158.650668539326
2009-10-09 06:00:00,307.954865168539,300.971797752809,306.379376404494,163.763724719101,140.341460674157,137.545370786517,133.573662921348,140.883983146067,84.4695561797753,299.632882022472,299.51697752809,180.374303370787,158.683438202247,151.677595505618,157.854415730337,158.652792134831
2009-10-09 07:00:00,307.967269662921,300.984404494382,306.391747191011,163.778050561798,140.235078651685,137.499258426966,133.400674157303,140.834533707865,84.4633876404494,299.634735955056,299.53504494382,180.376393258427,158.685123595506,151.678808988764,157.856168539326,158.654915730337
2009-10-09 08:00:00,307.979674157303,300.997011235955,306.404117977528,163.792376404494,140.128696629213,137.453146067416,133.227685393258,140.785084269663,84.4572191011236,299.63658988764,299.553112359551,180.378483146067,158.686808988764,151.68002247191,157.857921348315,158.657039325843
2009-10-09 09:00:00,307.992078651685,301.009617977528,306.416488764045,163.806702247191,140.022314606742,137.407033707865,133.054696629213,140.735634831461,84.4510505617978,299.638443820225,299.571179775281,180.380573033708,158.688494382022,151.681235955056,157.859674157303,158.659162921348
2009-10-09 10:00:00,308.004483146067,301.022224719101,306.428859550562,163.821028089888,139.91593258427,137.360921348315,132.881707865169,140.686185393258,84.4448820224719,299.640297752809,299.589247191011,180.382662921348,158.690179775281,151.682449438202,157.861426966292,158.661286516854
2009-10-09 11:00:00,308.016887640449,301.034831460674,306.441230337079,163.835353932584,139.809550561798,137.314808988764,132.708719101124,140.636735955056,84.4387134831461,299.642151685393,299.607314606742,180.384752808989,158.691865168539,151.683662921348,157.863179775281,158.66341011236
2009-10-09 12:00:00,308.029292134831,301.047438202247,306.453601123595,163.849679775281,139.703168539326,137.268696629213,132.535730337079,140.587286516854,84.4325449438202,299.644005617978,299.625382022472,180.386842696629,158.693550561798,151.684876404494,157.86493258427,158.665533707865
2009-10-09 13:00:00,308.041696629213,301.06004494382,306.465971910112,163.864005617978,139.596786516854,137.222584269663,132.362741573034,140.537837078652,84.4263764044944,299.645859550562,299.643449438202,180.38893258427,158.695235955056,151.68608988764,157.866685393258,158.667657303371
2009-10-09 14:00:00,308.054101123596,301.072651685393,306.478342696629,163.878331460674,139.490404494382,137.176471910112,132.189752808989,140.488387640449,84.4202078651685,299.647713483146,299.661516853933,180.39102247191,158.696921348315,151.687303370787,157.868438202247,158.669780898876
2009-10-09 15:00:00,308.066505617977,301.085258426966,306.490713483146,163.892657303371,139.38402247191,137.130359550562,132.016764044944,140.438938202247,84.4140393258427,299.64956741573,299.679584269663,180.393112359551,158.698606741573,151.688516853933,157.870191011236,158.671904494382
2009-10-09 16:00:00,308.07891011236,301.097865168539,306.503084269663,163.906983146067,139.277640449438,137.084247191011,131.843775280899,140.389488764045,84.4078707865169,299.651421348315,299.697651685393,180.395202247191,158.700292134831,151.689730337079,157.871943820225,158.674028089888
2009-10-09 17:00:00,308.091314606742,301.110471910112,306.51545505618,163.921308988764,139.171258426966,137.038134831461,131.670786516854,140.340039325843,84.401702247191,299.653275280899,299.715719101124,180.397292134831,158.70197752809,151.690943820225,157.873696629213,158.676151685393
2009-10-09 18:00:00,308.103719101124,301.123078651685,306.527825842697,163.935634831461,139.064876404494,136.99202247191,131.497797752809,140.29058988764,84.3955337078652,299.655129213483,299.733786516854,180.399382022472,158.703662921348,151.692157303371,157.875449438202,158.678275280899
2009-10-09 19:00:00,308.116123595506,301.135685393258,306.540196629213,163.949960674157,138.958494382022,136.94591011236,131.324808988764,140.241140449438,84.3893651685393,299.656983146067,299.751853932584,180.401471910112,158.705348314607,151.693370786517,157.877202247191,158.680398876404
2009-10-09 20:00:00,308.128528089888,301.148292134831,306.55256741573,163.964286516854,138.852112359551,136.899797752809,131.151820224719,140.191691011236,84.3831966292135,299.658837078652,299.769921348315,180.403561797753,158.707033707865,151.694584269663,157.87895505618,158.68252247191
2009-10-09 21:00:00,308.14093258427,301.160898876404,306.564938202247,163.978612359551,138.745730337079,136.853685393258,130.978831460674,140.142241573034,84.3770280898876,299.660691011236,299.787988764045,180.405651685393,158.708719101124,151.695797752809,157.880707865169,158.684646067416
2009-10-09 22:00:00,308.243,301.2645,306.6555,164.198,138.697,136.864,130.9545,140.133,84.3725,299.6675,299.768,180.3835,158.7225,151.696,157.8775,158.685
2009-10-09 23:00:00,308.262,301.2565,306.678,163.6455,138.643,136.8305,130.9185,140.105,84.3685,299.6525,299.7375,180.3975,158.7145,151.704,157.8825,158.7515
2009-10-10 00:00:00,308.058,301.3245,306.7025,163.96,138.6155,136.8205,130.9135,140.0825,84.361,299.6195,299.678,180.3935,158.7115,151.6965,157.887,158.7165
2009-10-10 01:00:00,308.384,301.2845,306.6685,164.542,138.578,136.818,130.899,140.068,84.353,299.692,299.729,180.389,158.7225,151.7075,157.8855,158.786
2009-10-10 02:00:00,308.2625,301.2835,306.6795,164.211,138.536,136.7975,130.8565,140.0495,84.343,299.7035,299.774,180.3935,158.721,151.6975,157.8825,158.6745
2009-10-10 03:00:00,308.255,301.3265,306.6915,163.6295,138.5105,136.793,130.844,140.046,84.3355,299.7015,299.7415,180.4005,158.7225,151.9085,157.871,158.7975
2009-10-10 04:00:00,308.222,301.32,306.5735,164.071,138.473,136.7875,130.83,140.0345,84.3195,299.5965,299.7135,180.3935,158.7155,151.6935,157.8875,158.632
2009-10-10 05:00:00,308.2645,301.2895,306.568,164.598,138.4595,136.7735,130.822,140.027,84.328,299.708,299.805,180.4075,158.7195,151.6925,157.8815,158.6825
2009-10-10 06:00:00,308.2945,301.326,306.7485,164.1615,138.4235,136.7355,130.808,139.998,84.3195,299.6985,299.816,180.389,158.7115,151.685,157.875,158.68
2009-10-10 07:00:00,308.2875,301.322,306.6705,163.6975,138.4275,136.755,130.808,140.022,84.3185,299.744,299.9405,180.399,158.7395,151.708,158.018,158.6915
